,product,price,discount,image,rating,global rating
71,"Realme 8 5G (Supersonic Blue, 4GB RAM, 128GB Storage)",,,https://m.media-amazon.com/images/I/41YmZRgXpOS._AC_UL320_.jpg,3.9,292.0
72,"Realme 8 (Cyber Black, 8GB RAM,128GB Storage)",,,https://m.media-amazon.com/images/I/41EDxkQzR8L._AC_UL320_.jpg,3.7,41.0
73,"Realme C25S (Watery Blue, 4GB RAM, 128GB Storage)",12480.0,Save 519 (4%),https://m.media-amazon.com/images/I/31mCXaClgBS._AC_UL320_.jpg,3.9,16.0
74,"(Renewed) realme Watch S with 1.3"" TFT-LCD Touchscreen, 15 Days Battery Life, SpO2 & Heart Rate Monitoring, IP68 Water Resistance",4241.0,Save 757.50 (15%),https://m.media-amazon.com/images/I/61QXCkshDOS._AC_UL320_.jpg,3.8,80.0
75,"Realme 8 (Cyber Black, 4GB RAM, 128GB Storage)",,,https://m.media-amazon.com/images/I/71xThduth+L._AC_UL320_.jpg,4.0,69.0
76,"realme 8 5G (8 GB RAM, 128GB ROM) (Supersonic Black)",,,https://m.media-amazon.com/images/I/41QHt1HYUBS._AC_UL320_.jpg,4.2,128.0
77,"(Renewed) realme Smart Watch 2 Pro (Space Grey) with 1.75"" HD Super Bright Touchscreen, Dual-Satellite GPS, 14-Day Battery, SpO2 & Heart Rate Monitoring, IP68 Water Resistance",4249.0,Save 750 (15%),https://m.media-amazon.com/images/I/71c2tfyvheL._AC_UL320_.jpg,2.8,9.0
78,"(Renewed) realme Buds Air Pro Active Noise Cancellation Enabled Bluetooth Headset (White, True Wireless)",3149.0,"Save 1,350 (30%)",https://m.media-amazon.com/images/I/41b-7EGP5+L._AC_UL320_.jpg,3.5,36.0
79,realme C20 (32 GB) (2 GB RAM) (Cool Blue),,,https://m.media-amazon.com/images/I/312WhlbLtEL._AC_UL320_.jpg,3.7,45.0
80,"realme X7 Max 5G (Android Black, 256 GB) (12 GB RAM)",,,https://m.media-amazon.com/images/I/312TQwC2YRS._AC_UL320_.jpg,4.2,153.0
81,"Realme 8 (Cyber Silver, 6GB RAM, 128GB Storage)",,,https://m.media-amazon.com/images/I/71hOaVrz0eL._AC_UL320_.jpg,4.0,69.0
82,"realme 10000 mAh Power Bank (Fast Charging, 30 W) Black",1999.0,Save 400 (17%),https://m.media-amazon.com/images/I/41P+fGQW5sL._AC_UL320_.jpg,4.1,2594.0
83,"realme 10000 mAh Power Bank (Fast Charging, 30 W) Yellow",1999.0,Save 400 (17%),https://m.media-amazon.com/images/I/41wdCReWsML._AC_UL320_.jpg,4.1,2594.0
84,(Renewed) realme Buds Q in-Ear True Wireless Earbuds (White),1398.0,Save 335 (19%),https://m.media-amazon.com/images/I/41HkhGaEmOL._AC_UL320_.jpg,3.3,87.0
85,"realme X7 Max 5G (Mercury Silver, 256 GB) (12 GB RAM)",,,https://m.media-amazon.com/images/I/41PTTjMGTBS._AC_UL320_.jpg,4.2,153.0
86,"Realme 8 Pro (Infinite Blue, 8GB RAM, 128GB Storage)",,,https://m.media-amazon.com/images/I/717kY6Rk+oL._AC_UL320_.jpg,4.3,28.0
87,realme C21 (32 GB) (3 GB RAM) (Cross Blue),,,https://m.media-amazon.com/images/I/31tsx01r8uL._AC_UL320_.jpg,3.5,19.0
88,"realme X7 Max 5G (Milky Way, 8GB+128GB)",,,https://m.media-amazon.com/images/I/41-4u0nDnIS._AC_UL320_.jpg,4.2,153.0
89,"realme X7 Max 5G (Milky Way, 12GB+256GB)",,,https://m.media-amazon.com/images/I/41-4u0nDnIS._AC_UL320_.jpg,4.2,153.0
90,realme C20 (32 GB) (2 GB RAM) (Cool Grey),,,https://m.media-amazon.com/images/I/31OWaR1id4L._AC_UL320_.jpg,3.7,45.0
91,"realme 8 5G (4 GB RAM, 64GB ROM) (Supersonic Black)",,,https://m.media-amazon.com/images/I/41QHt1HYUBS._AC_UL320_.jpg,4.0,136.0
92,Realme 7 Pro (Sun Kissed Leather) (8+128GB),19499.0,"Save 3,500 (15%)",https://m.media-amazon.com/images/I/41t7r8yDg2L._AC_UL320_.jpg,4.1,7.0
93,"realme 8 5G (4 GB RAM, 64GB ROM) (Supersonic Blue)",,,https://m.media-amazon.com/images/I/41NE1xBiBIS._AC_UL320_.jpg,4.0,136.0
94,"realme 8 5G (8 GB RAM, 128GB ROM) (Supersonic Blue)",,,https://m.media-amazon.com/images/I/41YmZRgXpOS._AC_UL320_.jpg,4.2,128.0
95,"realme 8 (Cyber Black, 128 GB) (6 GB RAM)",,,https://m.media-amazon.com/images/I/41EDxkQzR8L._AC_UL320_.jpg,4.3,49.0
96,"realme 8 (Cyber Silver, 128 GB) (8 GB RAM)",,,https://m.media-amazon.com/images/I/41vx5FJuCFL._AC_UL320_.jpg,3.9,31.0
97,"realme X7 Max 5G (Asteroid Black, 8GB RAM, 128GB Storage)",25000.0,"Save 4,999 (17%)",https://m.media-amazon.com/images/I/71CmG44Al4S._AC_UL320_.jpg,4.2,18.0
98,"(Renewed) realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer White, True Wireless)",2999.0,"Save 5,000 (63%)",https://m.media-amazon.com/images/I/413o4HL8yBS._AC_UL320_.jpg,1.5,4.0
99,"realme 8 Pro (Infinite Black, 128 GB) (8 GB RAM)",,,https://m.media-amazon.com/images/I/419gmiIp7cL._AC_UL320_.jpg,4.3,28.0
100,"realme 10000 mAh Power Bank (Quick Charge 2.0, Quick Charge 3.0) (Black, Lithium Polymer)",1249.0,Save 50 (4%),https://m.media-amazon.com/images/I/81+rL34zKYL._AC_UL320_.jpg,3.9,38.0
101,"Realme C25S (Watery Grey, 4GB RAM, 64GB Storage)",,,https://m.media-amazon.com/images/I/31aXeN1ZjMS._AC_UL320_.jpg,3.9,16.0
102,"Realme 7 Pro (Mirror Blue, 128 GB) (6 GB RAM)",18400.0,"Save 2,599 (12%)",https://m.media-amazon.com/images/I/41ejfHzS9ZL._AC_UL320_.jpg,4.0,178.0
103,"Realme 8 5G (Supersonic Black, 4GB RAM, 128GB Storage)",,,https://m.media-amazon.com/images/I/21BmZXdUh6S._AC_UL320_.jpg,3.9,292.0
104,"realme C25 (Watery Blue, 4GB RAM+64GB Storage) with No Cost EMI/Additional Exchange Offers",,,https://m.media-amazon.com/images/I/61ERM8TPp9S._AC_UL320_.jpg,3.8,31.0
105,"Realme 8 (Cyber Silver, 8GB RAM, 128GB Storage)",,,https://m.media-amazon.com/images/I/71hOaVrz0eL._AC_UL320_.jpg,3.8,8.0
106,"Realme 5 Pro (Chroma White, 8GB RAM, 128 GB Storage)",16440.0,"Save 1,559 (9%)",https://m.media-amazon.com/images/I/51WeC17h7EL._AC_UL320_.jpg,4.1,7.0
107,"realme 8 5G (4 GB RAM, 128GB ROM) (Supersonic Black)",,,https://m.media-amazon.com/images/I/41QHt1HYUBS._AC_UL320_.jpg,4.2,76.0
108,"(Renewed) realme X7 Max 5G (Mercury Silver, 128 GB) (8 GB RAM)",22849.0,"Save 2,126 (8%)",https://m.media-amazon.com/images/I/41ntVfjfMpL._AC_UL320_.jpg,1.0,2.0
109,"(Renewed) realme Watch S Pro 1.4"" Large AMOLED Touchscreen, SpO2, Continuous Heart Rate Monitor (Black)",7102.0,"Save 2,800 (28%)",https://m.media-amazon.com/images/I/51jiPJpSy0L._AC_UL320_.jpg,3.3,12.0
110,"Realme C15 (Power Sliver, 4GB RAM, 64GB Storage) Without Offer",,,https://m.media-amazon.com/images/I/317RQHcH00L._AC_UL320_.jpg,4.1,540.0
111,"(Renewed) realme Smart Watch 2 Pro (Metallic Silver) with 1.75"" HD Super Bright Touchscreen, Dual-Satellite GPS, 14-Day Battery, SpO2 & Heart Rate Monitoring, IP68 Water Resistance",4249.0,Save 750 (15%),https://m.media-amazon.com/images/I/71J2LFlp5fL._AC_UL320_.jpg,2.8,9.0
